Heat Rate Corrected for Heat Loss (GJ/hr),CO2 Flow Rate (tonne/hr),Rich Solvent Rate (lb/hr),Stripper Temp (F),Stripper Overhead Delta T (F),RLDG (mol/mol),LLDG (mol/mol),PZ conc (m)
0.393323758,0.135778398,6003.508821,301.8920908,7.537409298,0.391323393,0.184091367,
0.31370548,0.111477431,4510.539663,302.0546845,10.15041439,0.412395231,0.181964127,4.65606
0.336918771,0.129644951,5024.113738,302.1661152,6.999658303,0.409354226,0.183599636,4.66761
0.336131747,0.121665052,5017.822274,301.7935036,4.965789795,0.409862078,0.18584293,4.52
0.338551353,0.127999696,4979.065438,302.1314087,3.840298012,0.409206565,0.178369481,4.54185
0.412946934,0.150927569,6512.127417,301.9892943,5.145508313,0.407002882,0.186616269,4.23166
0.544888891,0.182991518,8405.583105,302.0030563,4.180810293,0.401871581,0.189602847,4.18524
0.623742034,0.184954302,8386.248193,301.9425273,-2.134829162,0.401720921,0.179772047,
0.341638077,0.115825324,7007.481014,301.8413884,10.98392849,0.398754627,0.231439435,4.1537
0.418164806,0.122670429,7491.666648,302.0996609,0.670111734,0.396024504,0.23461239,
0.550709777,0.198644768,12989.52427,301.9598229,-0.531772551,0.38431846,0.236566539,4.40765
0.54947589,0.199021955,13008.74616,302.0088081,-0.390531446,0.383393995,0.239655752,4.2991
0.650125183,0.20350603,12991.97134,301.7964623,0.876725744,0.383199233,0.238682978,4.23306
0.703788374,0.203574914,13000.26742,301.8632953,0.462506404,0.383503049,0.235414726,4.30541
0.680604438,0.197279562,13003.58038,302.2722648,0.110828837,0.385647876,0.243185941,4.38407
0.402267602,0.129453755,4997.473265,319.9731976,-4.091604264,0.408923159,0.193174479,4.27512
0.425212054,0.144404851,7494.900391,319.8447926,-3.071577729,0.388226648,0.229350239,5.55071
0.577935249,0.187254393,10399.80341,320.315948,-5.052977265,0.378841875,0.214444553,5.60105
0.521685841,0.168908575,8501.056977,320.3386521,-2.27718766,0.404779367,0.209445276,4.87648
0.474276308,0.181627117,11192.96252,282.1178884,3.678303453,0.393173173,0.258760955,4.67642
-0.0778,0,,,0,,,4.83892
0.273822787,0.105711848,6703.45126,283.9570448,-7.976191036,0.398922948,0.253073114,
0.315335987,0.129560734,8490.65934,283.935708,-0.717307419,0.377753514,0.250181759,4.843904269
0.297310798,0.125688544,7692.78185,283.8867433,0.282417923,0.387609872,0.247336457,4.836961668
0.32077421,0.131399319,8295.164014,283.8637805,-1.072132048,0.375108049,0.250055527,4.854785329
0.589083238,0.206766066,14399.83506,284.0980375,-4.315234325,0.363606182,0.253028511,4.880549282
0.545294358,0.194461474,12997.8986,284.073726,0.92904513,0.372103993,0.253182872,4.98771819
0.213452532,0,,,0,0.384818161,0.316445299,4.927599831
0.379777526,0,,,0,0.369564279,0.310666544,4.484136472
0.404801517,0,,,0,,,4.183009414
0.576819797,0.193226253,11999.8877,284.1581076,-0.224082822,0.379459382,0.242652431,
-0.0778,0,,,0,,,4.895720007
0.586627533,0.198992827,12001.56641,284.0283013,-3.268279279,0.380950553,0.238433006,
0.719844355,0.188147063,11991.927,284.047665,-8.562801674,0.375270249,0.248561481,4.951189173
0.728795571,0.180441144,12002.81596,283.9468129,-8.926350828,0.376616697,0.254327476,4.861764391
0.499809531,0,,,0,0.382552601,0.230725808,4.805476126
0.469195303,0.194877681,9996.911229,302.0609631,-6.262414151,0.399595102,0.247479803,3.495438842
0.47829216,0.201368198,10001.99837,302.1077701,-6.832136811,0.400634385,0.240780307,5.184679735
0.470216311,0.199333821,10003.13054,302.1235487,0.879786757,0.400216192,0.249226545,5.295012868
0.465271274,0.195364281,10005.32764,302.1133668,3.64093793,0.400263887,0.244032546,5.191804493
0.476965703,0.200182206,10000.4221,301.8579212,4.088043713,0.400990545,0.242540465,5.147276043
0.493780831,0.185195012,9992.779585,302.0753454,3.378981543,0.402955437,0.251289507,5.157849984
0.468476182,0.188095642,10023.47407,302.1341513,2.55977418,0.402448083,0.245606216,5.019093964
0.469320136,0.191158021,9985.350811,302.0758804,2.752304916,0.403499897,0.246561912,5.07268419
0.476849914,0.195688336,9997.339672,302.0531029,3.182198325,0.403001584,0.244429325,5.075094205
0.521392259,0.185013144,9998.709499,302.0966555,2.830324948,0.404251838,0.248697165,5.104007265
0.468846789,0.197716186,10013.52861,302.0574396,3.091934204,0.402702192,0.246974147,5.009693813
0.461671365,0.192732739,10011.01678,302.0202977,3.119720959,0.401101859,0.250146453,5.127018024
0.453391134,0.192250825,9980.616899,301.972281,1.439142946,0.40262769,0.243377303,5.058272534
0.459119669,0.190375571,9986.904286,302.0717663,1.393308702,0.403572509,0.246998926,4.969466569
0.459769084,0.195444589,10013.71645,302.0852161,3.080894722,0.402001667,0.244760579,4.991921374
0.462489824,0.196053266,9993.116908,302.0236421,2.345340938,0.404084385,0.247912062,4.964039341
0.463147599,0.191829713,10002.22669,302.0600868,1.982205737,0.403632009,0.248042254,4.952971016
0.459399084,0.192160946,10009.04268,302.0924636,2.273013104,0.402215229,0.245153174,4.93002336
0.45892211,0.195332401,10010.40303,302.1372952,1.477299617,0.402103392,0.244328457,5.0609519
0.467803278,0.198701849,9997.09169,302.0516767,3.099866259,0.402494947,0.237547409,5.045836244
0.460851386,0.193352431,9983.495149,302.0545691,1.247432835,0.403344253,0.237423572,4.993931192
0.001482477,0,,,0,,,5.059070579
-0.0778,0,,,0,,,
0.471995464,0.197773788,10008.72402,302.003042,0.702152797,0.406406711,0.242636535,
0.466861468,0.197457321,10012.72618,302.0950106,2.579325917,0.403792975,0.243932542,4.906296278
0.464178635,0.206501612,10004.38764,301.941305,2.388816247,0.406614974,0.240144243,5.140932082
0.463394628,0.207949088,9999.192662,302.0650504,2.253148006,0.406220027,0.235662823,5.080800924
0.461049476,0.208049165,10006.23168,302.0717505,1.915768802,0.405947395,0.23663733,5.048421679
0.465534788,0.209223035,9991.149167,302.0809383,2.880589915,0.409250963,0.238562275,5.005023954
0.463291749,0.209454058,9988.938605,302.049409,3.232116196,0.40878509,0.240596803,4.995498487
0.45877037,0.212314487,9989.459714,302.1444991,1.230458019,0.41001709,0.233823739,4.934432153
0.46325546,0.209733295,9992.242241,302.0781515,2.775266207,0.410265281,0.234291396,4.949299312
0.458089242,0.208144096,9999.753026,302.1074192,1.942018614,0.409153669,0.239147959,4.88214447
0.456386872,0.211558787,10003.00153,302.1321612,2.725461184,0.40945008,0.235576328,4.821201897
0.454359532,0.211024523,10009.04795,302.1045308,1.894940554,0.410437738,0.237091877,4.806802442
0.452519287,0.210121537,10006.33252,302.0655075,1.79239009,0.411622023,0.235353717,4.788771929
0.451598438,0.211875907,9998.664363,302.0577698,1.777315915,0.411610499,0.233041479,4.771814965
0.457161421,0.210608401,10008.69805,302.1285642,2.168630747,0.410001299,0.234290543,4.761766153
0.457006912,0.210524661,9998.394284,302.0648592,2.378353077,0.410185222,0.231365216,4.724232788
0.523617165,0.214931835,,,0,0.412395231,0.316445299,4.721390198
0.633336348,0.235968413,13493.45863,302.0167528,7.676629873,0.391325362,0.237891822,4.671952701
0.649632242,0.250928531,13501.62598,301.838952,7.597662488,0.391385878,0.229528771,4.88392
0.614425191,0.253791608,13504.92296,301.9774824,8.260579707,0.387155428,0.227767374,4.81341
0.616578776,0.256393077,13507.9499,302.1570137,6.605046674,0.386131392,0.225882378,4.81996
0.634580712,0.247380093,13475.80588,301.8508562,7.059754424,0.392209017,0.231513011,4.7173
0.651089115,0.258801814,12827.52968,302.0836335,8.310572601,0.411438615,0.246232579,4.82512
0.654969112,0.258819976,12819.42157,302.0565611,13.09658864,0.410346519,0.236051552,5.05442
0.610191772,0.265367073,14991.38956,301.8163041,16.70440258,0.411235878,0.266135121,5.22145
0.619735128,0.26362982,15004.5396,301.9462394,17.03674585,0.412405412,0.260736112,5.16016
0.617387385,0.270759685,11949.71875,311.0958055,14.14773774,0.408710532,0.233477416,5.33713
0.586269783,0.250060553,11398.37781,311.0219301,23.98835738,0.409601721,0.235777108,5.21653
0.676236779,0.27353276,12503.68894,272.03838,10.57577754,0.404347199,0.241670622,5.08355
0.676801208,0.261573269,12517.74617,272.3069522,0.403988178,0.405019272,0.238553179,5.01587
0.809305821,0.279191311,12440.9002,282.6880333,-11.67046869,0.408442618,0.234283773,5.03963
0.715468183,0.27678655,15504.33503,302.052708,6.05654812,0.383158552,0.238465493,4.97273
0.698953198,0.275156562,15493.52921,301.9205648,2.330178253,0.382670271,0.23557253,4.89361
0.72754233,0.288932561,16279.54483,302.1436848,1.6795677,0.37720309,0.243823476,4.87634
0.701796805,0.276818513,19694.65529,302.0296871,5.59944428,0.373086466,0.25094512,4.84601
0.705891676,0.278921277,19693.87071,302.1253374,7.29090764,0.37374058,0.248071061,4.65614
0.713571031,0.272146184,12754.12182,301.9783491,1.595468165,0.373342888,0.196088725,4.65614
0.654175178,0.256056067,14514.61436,302.0244009,5.877603889,0.383260845,0.227618442,4.77658
0.935526878,0.390567814,17000.72163,301.8314179,-8.637520712,0.394740194,0.195484046,4.74479
0.913136232,0,18566.01713,301.4172769,6.515821363,0.370818002,0.219463822,
0.883803057,0,19557.27328,302.0868936,6.397929207,0.377977991,0.231212287,
0.845143012,0,18569.98423,302.1168483,6.613985599,0.379764895,0.23222317,
0.047066027,0,18578.00371,302.0299038,7.090346073,0.377632943,0.22978197,
0.620835254,0.261584103,13411.5269,301.9423017,0,0.402576552,0.235561697,4.72498
0.61857348,0.261482707,13396.92929,301.9423017,5.706086714,0.401151475,0.226836036,4.75924
0.611043085,0.260656966,13407.99527,302.2474748,5.761535309,0.401459007,0.230881555,4.7506
0.617140949,0.26435799,13405.89294,301.8009295,5.529300229,0.403780626,0.23034798,4.75008
0.612228556,0.261884958,13402.73319,,0,0.402224489,0.229977814,4.71734
0.614783022,0.259500427,13397.42644,301.8495557,5.589048113,0.402708463,0.230169925,4.71209
0.596623628,0.245411933,13401.52277,302.2185723,5.790369558,0.392677805,0.229186292,4.6139
0.588319872,0.243618582,13399.29654,301.8168593,5.440673493,0.391691015,0.2332106,4.57122
0.582801665,0.243794618,13395.16401,301.765846,5.140897814,0.39190277,0.225429336,4.51983
0.597067081,0.256769837,13399.79097,,0,0.399120857,0.225667542,4.52819
0.605111323,0.263026912,13391.10149,301.789638,5.358437674,0.404255748,0.22449259,4.49543
0.592479011,0.255115773,13404.32129,301.8243301,5.640710516,0.397945843,0.224179027,4.43629
0.592476721,0.249476828,13891.23444,302.02203,5.29265016,0.391926698,0.227483422,4.26556
0.59275017,0.248233457,13903.08024,302.1540044,5.176292168,0.390398565,0.2189315,4.28373
0.59299625,0.246717551,13898.95211,301.9936711,5.713236547,0.389844222,0.221590927,4.24722
0.602911819,0.252600925,13498.01878,301.8587489,6.792365106,0.39686865,0.222258495,4.2925
0.5981882,0.251986057,13503.8345,302.1994857,6.463712923,0.398758001,0.224686368,4.23627
0.596602557,0.253807505,13494.41564,301.8491556,5.56105075,0.401793298,0.219974253,4.21113
0.683069903,0.270086875,16990.94141,301.8627386,5.031654106,0.373240092,0.227143715,4.09594
0.747259155,0.307352496,17002.80808,301.7850362,5.572498028,0.396107151,0.226948325,4.14279
0.742619429,0.30536901,17005.29763,302.136815,5.576856676,0.396887803,0.224882286,4.09989
0.777744698,0.318762904,17003.75237,301.9286629,5.65210111,0.395521894,0.238475139,4.82277
0.772944578,0.317946027,16996.29634,302.1500606,5.919899909,0.396019358,0.235375654,4.83409
0.775392447,0.317102441,16992.35796,302.1994974,0,0.395138952,0.234843009,4.82606
0.778502264,0.319066576,16999.73116,302.0362579,5.90243547,0.395752588,0.239853861,4.77455
0.779084102,0.32091683,17018.50788,301.9750896,5.592337304,0.394787101,0.239033678,4.89269
